title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count
WRESTLING NIGAHIGA!!! (WILD CARD),HigaTV,24,2017-11-12T18:20:00.000Z,"wrestling|""ufc""|""mma""|""nigahiga""|""youtube""|""wwe""|""conor""|""mcgregor""|""floyd""|""mayweather""|""meme""|""sports""|""challenge""|""toy""|""vs""|""ultimate""|""slime""|""eat""|""wear""|""bf""|""gf""|""boyfriend""|""girlfriend""|""gone""|""wrong""|""fail""|""food""|""electric""|""try""|""not""|""cringe""|""laugh""|""touch""|""body""|""war""|""prank""|""compilation""",348841,27089,162,2099
Throwing Things Into A Fan!,REKT,24,2017-11-12T23:00:00.000Z,"Industrial Fan|""Industrial Fan Destruction""|""Throwing Things into fan""|""breaking with fan""|""fan blade destruction""|""960 fps""|""480 fps""|""Rekt""|""Gunner""|""Gomez""|""Matthias""|""Hi5""|""Studios""|""Tanner""|""Malmedal""|""Hi5Studios""|""slow""|""motion""|""slomo""|""slowmo""|""family""|""friendly""",370827,12150,325,2352
"10 FILMS que LES PARENTS CROYAIENT ÊTRE pour ENFANTS, ALORS que NON | Lama Faché",Lama Faché,24,2017-11-12T15:59:38.000Z,"dessin animé|""disney""|""top 10""|""top 5""|""top10""|""listes""|""lama faché""|""films""|""cinéma""|""acteur""|""incroyable""|""bande annonce""|""nouveau film""|""seance cinema""|""curiosité""|""10 plus""|""tendances""|""faits""|""videos droles""",653398,27773,2778,3976
So We Started A Fire...,Philly D,22,2017-11-13T17:00:04.000Z,"PhillyD|""Philly D""|""Vloggity""|""The Philip DeFranco Show""|""Philip DeFranco Show""|""DeFrancoElite""|""Vlog""|""Vlogger""|""Docuvlog""|""DeFranco Elite""|""YouTube""|""World Kindness Day""|""Respect""|""Polite""|""Giving""|""Conversation""|""kind""|""therapy""|""all the feels""|""face to face""|""kindness day""|""worst""|""worldkindnessday""|""body shaming""|""cheating""|""fatphobia""|""annoying""|""personality traits""|""body positivity""|""fat shaming""|""dogs""|""dog lover""|""feel good news""|""you are not alone""|""burning effigy""|""giving back""|""share the love""|""spread the love""",92280,11045,182,1412
Telefoon || Babbu Maan || Promo || Full Song 15th November || Latest Punjabi Songs 2017 || Hey Yolo,Hey Yolo,10,2017-11-12T04:24:34.000Z,"Telefoon|""Babbu Maan""|""Mehfil Mitran Di""|""new punjabi songs""|""The Babbu Maan Store""|""Hey Yolo""|""Swag Music""|""Latest Punjabi Songs 2017""|""Latest Punjabi Songs""|""new punjabi songs 2017""|""punjabi music""|""punjabi music 2017""|""punjabi latest songs""|""punjabi movies 2017""|""punjabi movies songs 2017""|""punjabi""|""punjabi songs 2017 latest""|""punjabi songs 2017 babbu maan""|""Delhi To Lahore""|""Babbu Maan Live""|""Babbu Maan Online""|""Samundar Babbu Maan""|""happy diwali""|""chandigarh""|""punjab""|""mohali""|""maan saab""|""canada""",178447,4339,96,876
CARPOOL KARAOKE w/ FaZe Banks!!,FaZe Adapt,22,2017-11-12T00:40:37.000Z,"Adapt|""FaZeClan""|""FaZe Gaming""|""carpool karaoke""|""faze banks""|""faze adapt""|""romvn""",585425,36207,1288,3002
Mythical Dog Party,Good Mythical MORE,24,2017-11-13T11:00:06.000Z,"rhett and link|""good mythical more""|""rhett and link good mythical more""|""good mythical more rhett and link""|""season 12""|""mythical dog party""|""mythical crew""|""rhett""|""link""|""gmm""|""gmmore""|""gmm crew""|""rhett link dog""|""rhett link dogs""|""dogs""|""party""|""mythical""|""nickelback""|""nickelback rockstar""|""nickelback photograph""|""nickelback how you remind me""|""nickelback songs""|""rescue dog""|""rescue dogs""|""adopted dog""|""adopted dogs""|""cute dog""|""cute dogs""|""dog""",116676,4324,136,618
The Try Guys Bake Bread Without A Recipe,BuzzFeedVideo,22,2017-11-11T16:00:37.000Z,"try|""guys""|""keith""|""ned""|""zach""|""eugene""|""baking""|""great""|""british""|""competition""|""parody""|""cooking""|""bread""|""food""|""show""|""recipe""|""loaf""|""funny""|""buzzfeed""|""video""|""clark""|""street""|""english""|""mary""|""paul hollywood""|""flour""|""yeast""|""dough""|""bake""",3597410,128127,1756,10370
PAPY GRENIER - METAL GEAR SOLID,Joueur Du Grenier,20,2017-11-12T17:00:02.000Z,"Papy grenier|""Metal Gear Solid""|""PS1""|""Tirage d'oreille""|""Humour""|""retro Gaming""|""Joueur du Grenier""|""JDG""",925222,85016,550,4303
急诊科医生 | Emergency Physician 25（张嘉译、王珞丹、柯蓝等主演）,麻辣变形计 HOT GIRL,22,2017-11-12T16:00:02.000Z,"马克|""迪丽热巴""|""麻辣变形计""|""军旅""|""美女""|""感情""|""都市""|""电视剧""|""热播""|""火辣""|""女军""|""制服""|""张嘉译""|""王珞丹""|""江珊""|""柯蓝""|""巩峥""|""zhangjiayi""|""wangluodan""|""jiangshan""|""kelan""|""kongzheng""",123778,82,20,64
